ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Borrowings,Patterns,Morpheme_Glosses
Abipon-169_knife-2,,Abipon,169_knife,nicaRaRanRat,nicaRaRanRat,n i tʃ a ʁ a ʁ a n ʁ a t,,najlis1966,,,,,1 343 15 9,,,[]
Abipon-209_oldman-1,,Abipon,209_oldman,kacergaik,kacergaik,k a tʃ e r g ai + k,,najlis1966,,,,,353 42 17,,,"['old', '_:masc']"
Abipon-209_oldman-2,,Abipon,209_oldman,ikame,ikame,i k a m e,,najlis1966,,,,,53 354,,,[]
Abipon-209_oldman-3,,Abipon,209_oldman,kereRaik,kereRaik,k e r e ʁ ai + k,,najlis1966,,,,,354 355 17,,,"['old', '_:masc']"
Abipon-151_twenty-1,,Abipon,151_twenty,lanamerihegem kat gracaRhaqa (?) anamicirihegem,l+anam+erihegem kat gracaRhaqa anamicirihegem,l + a n a m + e r i + h e g e m + k a t + g r a tʃ a ʁ h a q a + a n a m + i tʃ i + r i + h e g e m,,najlis1966,,,,,6 164 356 357 358 359,,,"['_:3sg', 'finish', '_:pl', '_:dir', '_:?', 'feet', '_:3sg', 'finish', '_:?', '_:pl', '_:dir']"
Abipon-159_cook-1,,Abipon,159_cook,eoa,eoa,e w a,,najlis1966,,,,,378,,,[]
Abipon-210_oldwoman-1,,Abipon,210_oldwoman,kacergaie,kacergaie,k a tʃ e r g a j e,,najlis1966,,,,,388 42 30,,,[]
Abipon-210_oldwoman-2,,Abipon,210_oldwoman,kereRaie,kereRaie,k e r e ʁ a j e,,najlis1966,,,,,389 390 30,,,[]
Abipon-160_fox-1,,Abipon,160_fox,liceRa,liceRa,l i tʃ e ʁ a,,najlis1966,,,,,6 425 3,,,[]
Abipon-131_insect-1,,Abipon,131_insect,oapa,oapa,w a p a,,najlis1966,,,,,428,,,[]
Abipon-211_mule-1,,Abipon,211_mule,ketelq,ketelq,k e t e l q,,najlis1966,,,,,443,,,[]
Abipon-121_footprint-1,,Abipon,121_footprint,kataik lacaRhaqa,kataik lacaRhaqa,k a t a i k + l a tʃ a ʁ h a q a,,najlis1966,,,,,17 18 482 483,,,"['?', '?']"
Abipon-127_cousin-1,,Abipon,127_cousin,gnakirek,gnakirek,g n a k i r e k,,najlis1966,,,,,513 514,,,[]
Abipon-165_write-1,,Abipon,165_write,eier-,eier-,e j e r,,najlis1966,,,,,524,,,[]
Abipon-122_altar-1,,Abipon,122_altar,lëëtRa,lëëtRa,l eː t ʁ a,,najlis1966,,,,,6 3839 3,,,[]
Ava-163_see-1,,Ava,163_see,echa; esa,echa,e tʃ a,,dietrich2015,,,,,553,,,['eye']
Ava-163_see-2,,Ava,163_see,echa; esa,esa,e s a,,dietrich2015,,,,,553,,,['eye']
Ava-37_husband-1,,Ava,37_husband,chẽme,me,m e,,dietrich2015,,,,,541 555,,,[]
Ava-38_wife-1,,Ava,38_wife,hembireko,h+embireko,h + e ⁿb i r e k o,,dietrich2015,,,,,539 28 556,,,"['_:poss', 'wife']"
Ava-138_hear-1,,Ava,138_hear,aendu,aendu,e n d u,,dietrich2015,,,,,557,,,[]
Ava-130_louse-1,,Ava,130_louse,chekɨ; kɨɨ,kɨ,k ɨ,,dietrich2015,,,,,541 562,,,[]
Ava-130_louse-2,,Ava,130_louse,chekɨ; kɨɨ,kɨɨ,k ɨ ɨ,,dietrich2015,,,,,562,,,[]
Ava-129_dog-1,,Ava,129_dog,hɨmba,h+ɨmba,h + ɨ ⁿb a,,dietrich2015,,,,,539 563,,,"['_:poss', 'dog']"
Ava-120_leg-1,,Ava,120_leg,chetɨ̃ma; chetɨ̃maka,tɨ̃ma,t ɨ̃ m a,,dietrich2015,,,,,541 571,,,[]
Ava-120_leg-2,,Ava,120_leg,chetɨ̃ma; chetɨ̃maka,tɨ̃maka,t ɨ̃ m a k a,,dietrich2015,,,,,541 571,,,[]
Ava-125_sleep-1,,Ava,125_sleep,ake,ake,k e,,dietrich2015,,,,,576,,,[]
Ava-44_feather-1,,Ava,44_feather,aa,aa,aː,,dietrich2015,,,,,582,,,[]
Ava-139_earthgroundsoil-1,,Ava,139_earthgroundsoil,ɨwɨ,ɨwɨ,ɨ ʋ ɨ,,dietrich2015,,,,,583,,,[]
Ava-154_four-1,,Ava,154_four,irundɨ,irundɨ,i r u n d ɨ,,dietrich2015,,,,,83,,,[]
Ava-167_yellow-1,,Ava,167_yellow,cheju; iju,ju,dʒ u,,dietrich2015,,,,,541 590,,,[]
Ava-133_flyvb-1,,Ava,133_flyvb,wewe,wewe,ʋ e ʋ e,,dietrich2015,,,,,591,,,[]
Ava-164_dust-1,,Ava,164_dust,ɨwɨkui; ɨwɨkwĩti,ɨwɨ+kui,ɨ ʋ ɨ + k ui,,dietrich2015,,,,,599 600,,,"['earth', 'made.powder']"
Ava-164_dust-2,,Ava,164_dust,ɨwɨkui; ɨwɨkwĩti,ɨwɨ+kwĩti,ɨ ʋ ɨ + k w ĩ t i,,dietrich2015,,,,,599 601,,,"['earth', 'made.powder']"
Ava-168_star-1,,Ava,168_star,jasɨ tata,jasɨ tata,dʒ a s ɨ + t a t a,,dietrich2015,,,,,605 606,,,"['moon', 'fire']"
Ava-145_nearadv-1,,Ava,145_nearadv,ko; kõi; kõñõ,ko,k o,,dietrich2015,,,,,615,,,[]
Ava-145_nearadv-2,,Ava,145_nearadv,ko; kõi; kõñõ,kõi,k õ i,,dietrich2015,,,,,615,,,[]
Ava-145_nearadv-3,,Ava,145_nearadv,ko; kõi; kõñõ,kõ+ñõ,k õ ɲ õ,,dietrich2015,,,,,615 616,,,[]
Ava-43_leaf-1,,Ava,43_leaf,hoki; ho'o; roo,h+oki,h + o k i,,dietrich2015,,,,,539 623,,,"['_:poss', 'leaf']"
Ava-43_leaf-2,,Ava,43_leaf,hoki; ho'o; roo,ho'o,h + o ʔ o,,dietrich2015,,,,,624,,,"['_:poss', 'leaf']"
Ava-43_leaf-3,,Ava,43_leaf,hoki; ho'o; roo,roo,r + oː,,dietrich2015,,,,,625,,,"['_:poss', 'leaf']"
Ava-140_where-1,,Ava,140_where,keapepa,kea+pe+pa,k e a + p e + p a,,dietrich2015,,,,,639 640 604,,,"['where', '_:in', '_:int']"
Ava-141_how-1,,Ava,141_how,kerẽipa,kerẽi+pa,k e r ẽ i + p a,,dietrich2015,,,,,645 604,,,"['how', '_:int']"
Ava-153_three-1,,Ava,153_three,mbapɨ,mbapɨ,ⁿb a p ɨ,,dietrich2015,,,,,646,,,[]
Ava-146_faradv-1,,Ava,146_faradv,mombɨrɨ,mombɨrɨ,m o ⁿb ɨ r ɨ,,dietrich2015,,,,,649,,,[]
Ava-162_drink-1,,Ava,162_drink,u,u,u,,dietrich2015,,,,,652,,,[]
Ava-253_flower-1,,Ava,253_flower,chepotɨ,potɨ,p o t ɨ,,dietrich2015,,,,,541 653,,,[]
Ava-41_fall-1,,Ava,41_fall,a,a,a,,dietrich2015,,,,,656,,,[]
Ava-148_short-1,,Ava,148_short,chutu,chutu,tʃ u t u,,dietrich2015,,,,,661,,,[]
Ava-149_five-1,,Ava,149_five,pandepo,pa+nde+po,p a + n d e + p o,,dietrich2015,,,,,595 670 671,,,"['all', 'your', 'hand']"
Ava-192_grass-1,,Ava,192_grass,kapii,kapii,k a p iː,,dietrich2015,,,,,674,,,[]
Ava-152_one-1,,Ava,152_one,mopẽti,mopẽti,m o p ẽ t i,,dietrich2015,,,,,675 676,,,[]
Ava-135_two-1,,Ava,135_two,mõkoi,mõkoi,m õ k oi,,dietrich2015,,,,,687,,,[]
Ava-15_long-1,,Ava,15_long,puku,puku,p u k u,,dietrich2015,,,,,688,,,[]
Ava-136_littlequantityfew-1,,Ava,136_littlequantityfew,michi,michi,m i tʃ i,,dietrich2015,,,,,711,,,[]
Ava-147_muchmany-1,,Ava,147_muchmany,heta,h+eta,h + e t a,,dietrich2015,,,,,713 217,,,"['_:3sg', 'many']"
Ava-39_sit-1,,Ava,39_sit,gwapɨ,gwapɨ,ɣ w a p ɨ,,dietrich2015,,,,,717,,,[]
Ava-35_spider-1,,Ava,35_spider,yanduti,yanduti,dʒ a n d u t i,,dietrich2015,,,,,736,,,[]
Ava-126_liedown-1,,Ava,126_liedown,ajapakwa,ajapakwa,dʒ a p a k w a,,dietrich2015,,,,,760,,,[]
Ava-150_ten-1,,Ava,150_ten,payandepo,pa+yande+po,p a + dʒ a n d e + p o,,dietrich2015,,,,,595 715 671,,,"['all', 'our', 'hand']"
Ava-132_float-1,,Ava,132_float,wewi,wewi,ʋ e ʋ i,,dietrich2015,,,,,770,,,[]
Ava-128_flea-1,,Ava,128_flea,chepiki,che+piki,p i k i,,dietrich2015,,,,,541 287,,,[]
Ava-166_deer-1,,Ava,166_deer,gwahu; gwasu,gwahu,ɣ w a h u,,dietrich2015,,,,,781,,,[]
Ava-166_deer-2,,Ava,166_deer,gwahu; gwasu,gwasu,ɣ w a s u,,dietrich2015,,,,,781,,,[]
Ava-42_hairhead-1,,Ava,42_hairhead,a; haa; raa,aa,aː,,dietrich2015,,,,,788,,,[]
Ava-254_penis-1,,Ava,254_penis,hakwa; hembo,h+akwa,h + a k w a,,dietrich2015,,,,,539 792,,,"['_:poss', 'penis']"
Ava-254_penis-2,,Ava,254_penis,hakwa; hembo,h+embo,h + e ⁿb o,,dietrich2015,,,,,539 793,,,"['_:poss', 'penis']"
Ava-201_testicle-1,,Ava,201_testicle,tapia,t+apia,t + a p i a,,dietrich2015,,,,,537 807,,,"['_:poss', 'testicle']"
Ava-124_bed-1,,Ava,124_bed,tupa,t+upa,t + u p a,,dietrich2015,,,,,541 819,,,"['_:poss', 'bed']"
Ava-143_plantvb-1,,Ava,143_plantvb,añõti,ñõti,ɲ õ t i,,dietrich2015,,,,,823,,,[]
Ava-123_burnvbintrans-1,,Ava,123_burnvbintrans,akai,akai,a k a i,,dietrich2015,,,,,329,,,[]
Ava-158_nine-1,,Ava,158_nine,chao,chao,tʃ a o,,dietrich2015,,,,,839,,,[]
Ava-156_seven-1,,Ava,156_seven,chiu,chiu,tʃ i u,,dietrich2015,,,,,847,,,[]
Ava-169_knife-1,,Ava,169_knife,kɨse,kɨse,k ɨ s e,,dietrich2015,,,,,343,,,[]
Ava-170_needle-1,,Ava,170_needle,juu,juu,dʒ uː,,dietrich2015,,,,,854,,,[]
Ava-155_six-1,,Ava,155_six,owa,owa,o ʋ a,,dietrich2015,,,,,861,,,[]
Ava-209_oldman-1,,Ava,209_oldman,tamɨ̃i ramɨ̃i,ramɨ̃i,r a m ɨ̃ i,,dietrich2015,,,,,870 354,,,[]
Ava-151_twenty-1,,Ava,151_twenty,mõkoi pa yande po; mõkoi opa,mõkoi+pa+yande+po,m õ k oi + p a + dʒ a n d e + p o,,dietrich2015,,,,,872 595 715 671,,,"['two', 'all', 'our', 'hand']"
Ava-151_twenty-2,,Ava,151_twenty,mõkoi pa yande po; mõkoi opa,mõkoi+opa,m õ k oi + o p a,,dietrich2015,,,,,872 678,,,"['two', 'all']"
Ava-157_eight-1,,Ava,157_eight,huri,huri,h u r i,,dietrich2015,,,,,886,,,[]
Ava-159_cook-1,,Ava,159_cook,amõi; ayembiapo; mboyɨ,mõi,m õ i,,dietrich2015,,,,,899,,,[]
Ava-159_cook-2,,Ava,159_cook,amõi; ayembiapo; mboyɨ,yembiapo,dʒ e ⁿb j a p o,,dietrich2015,,,,,900,,,[]
Ava-159_cook-3,,Ava,159_cook,amõi; ayembiapo; mboyɨ,mbo+yɨ,ⁿb o + dʒ ɨ,,dietrich2015,,,,,641 901,,,"['_:caus', 'cooked']"
Ava-210_oldwoman-1,,Ava,210_oldwoman,tɨãno; tɨãro,tɨãno,t ɨ ã n o,,dietrich2015,,,,,904,,,[]
Ava-210_oldwoman-2,,Ava,210_oldwoman,tɨãno; tɨãro,t+ɨãro,t + ɨ ã r o,,dietrich2015,,,,,905 389,,,"['_:poss', 'old.woman']"
Ava-142_sap-1,,Ava,142_sap,ɨwɨra itɨ,ɨwɨra itɨ,ɨ ʋ ɨ r a + i t ɨ,,dietrich2015,,,,,698 906,,,"['tree', '?']"
Ava-36_spiderweb-1,,Ava,36_spiderweb,hapãa; yanduti rupaa,hapãa,h a p ã a,,dietrich2015,,,,,908,,,[]
Ava-36_spiderweb-2,,Ava,36_spiderweb,hapãa; yanduti rupaa,yanduti r+upaa,dʒ a n d u t i + r + u p aː,,dietrich2015,,,,,909 910 908,,,"['spider', '_:poss', 'bed']"
Ava-160_fox-1,,Ava,160_fox,agwara,agwara,a ɣ w a r a,,dietrich2015,,,,,940,,,[]
Ava-211_mule-1,,Ava,211_mule,mburika; mburiga gwasu,mburiga gwasu,ⁿb u r i g a + ɣ w a s u,,dietrich2015,,,,,953 954,,,"['donkey', 'big']"
Ava-2_beehive-1,,Ava,2_beehive,ei+tu+renda,ei+tu+renda,e i + t u + r e n d a,,dietrich2015,,,,,960 961 962,,,[]
Ava-40_borntobe-1,,Ava,40_borntobe,aa,aa,aː,,dietrich2015,,,,,988,,,[]
Ava-121_footprint-1,,Ava,121_footprint,taĩkwere,t+aĩkwere,t + a ĩ k w e r e,,dietrich2015,,,,,537 482,,,"['_:poss', 'footprint']"
Ava-144_mute-1,,Ava,144_mute,ñẽembae,ñẽe+mbae,ɲ ẽ e + ⁿb a e,,dietrich2015,,,,,1067 1068,,,"['words', '_:less']"
Ava-134_itch-1,,Ava,134_itch,hẽmi,h+ẽmi,h + ẽ m i,,dietrich2015,,,,,539 1081,,,"['_:3sg', 'itch']"
Ava-127_cousin-1,,Ava,127_cousin,tɨkeɨ,t+ɨkeɨ,t + ɨ k e ɨ,,dietrich2015,,,,,537 514,,,"['_:poss', 'cousin']"
Ava-137_potter-1,,Ava,137_potter,ñãe ijapoa,ñãe i+japo+a,ɲ ã e + i + dʒ a p o + a,,dietrich2015,,,,,1104 1105 1106 1107,,,"['bowl', '_:3sg', 'make', '_:nmlz']"
Ava-165_write-1,,Ava,165_write,aikwatia,aikwatia,k w a t j a,,dietrich2015,,,,,1112,,,[]
Ayoreo-163_see-1,,Ayoreo,163_see,chimo jnoque,chi+mo jnoque,tʃ i + m o + n̥ o k e,,benz2020;schmeda1998;briggs2015,,,,,66 1142 1143,,,"['_:3sg', 'see', '?']"
Ayoreo-163_see-2,,Ayoreo,163_see,imo,i+mo,i m o ʔ,,benz2020;schmeda1998;briggs2015,,,,,1144 1142,,,['see']
Ayoreo-37_husband-1,,Ayoreo,37_husband,abai,abai,a b ai,,benz2020;schmeda1998;briggs2015,,,,,555 1148,,,[]
Ayoreo-38_wife-1,,Ayoreo,38_wife,dacote,d+acote,d + a k o t e,,benz2020;schmeda1998;briggs2015,,,,,1149 556,,,"['_:poss', 'wife']"
Ayoreo-138_hear-1,,Ayoreo,138_hear,chudute,udute,u d u t e ʔ,,benz2020;schmeda1998;briggs2015,,,,,871 557,,,[]
Ayoreo-138_hear-2,,Ayoreo,138_hear,tangari,t+angai,t + a ŋ ai,,benz2020;schmeda1998;briggs2015,,,,,32 1150,,,"[':3sg', 'hear']"
Ayoreo-130_louse-1,,Ayoreo,130_louse,jnarii,jnarii,n̥ a r iː,,benz2020;schmeda1998;briggs2015,,,,,1155 1156,,,[]
Ayoreo-129_dog-1,,Ayoreo,129_dog,tamocoi,tamoco+i,t a m o k o + i,,benz2020;schmeda1998;briggs2015,,,,,1157 1158,,,"['dog', '_:masc.sg']"
Ayoreo-120_leg-1,,Ayoreo,120_leg,"etaudi, otadi",eta+udi,e t a u d i,,benz2020;schmeda1998;briggs2015,,,,,571 56,,,[]
Ayoreo-120_leg-2,,Ayoreo,120_leg,"etaudi, otadi",ota+di,oː t a d i,,benz2020;schmeda1998;briggs2015,,,,,571 56,,,[]
Ayoreo-125_sleep-1,,Ayoreo,125_sleep,emoto; imo,imo,i m o ʔ,,benz2020;schmeda1998;briggs2015,,,,,1174,,,['see']
Ayoreo-44_feather-1,,Ayoreo,44_feather,ãrama,ãrama,ã ɹ a m a,,benz2020;schmeda1998;briggs2015,,,,,582,,,[]
Ayoreo-44_feather-2,,Ayoreo,44_feather,cucha ama,cucha ama,k u tʃ a + a m a,,benz2020;schmeda1998;briggs2015,,,,,1185 582,,,"['thing', 'feather']"
Ayoreo-44_feather-3,,Ayoreo,44_feather,ojode,ojo+de,o h o + d e,,benz2020;schmeda1998;briggs2015,,,,,1186 1185,,,"['feather', '_:pl']"
Ayoreo-139_earthgroundsoil-1,,Ayoreo,139_earthgroundsoil,ẽami,ẽami,ẽ a m i,,benz2020;schmeda1998;briggs2015,,,,,1187,,,[]
Ayoreo-139_earthgroundsoil-2,,Ayoreo,139_earthgroundsoil,jnumi,jnumi,n̥ u m i,,benz2020;schmeda1998;briggs2015,,,,,1187,,,[]
Ayoreo-139_earthgroundsoil-3,,Ayoreo,139_earthgroundsoil,jnupe,jnupe,n̥ u p e,,benz2020;schmeda1998;briggs2015,,,,,1187,,,[]
Ayoreo-154_four-1,,Ayoreo,154_four,ngagajni; gagajni,gagajni,g a ŋ a n̥ i,,benz2020;schmeda1998;briggs2015,,,,,1198,,,[]
Ayoreo-167_yellow-1,,Ayoreo,167_yellow,peipi; sãre,peipi,p ei p i,,benz2020;schmeda1998;briggs2015,,,,,1202,,,[]
Ayoreo-167_yellow-2,,Ayoreo,167_yellow,peipi; sãre,sãre,s ã ɹ e,,benz2020;schmeda1998;briggs2015,,,,,1203,,,[]
Ayoreo-133_flyvb-1,,Ayoreo,133_flyvb,cho; iyo,cho,tʃ o,,benz2020;schmeda1998;briggs2015,,,,,1204,,,[]
Ayoreo-133_flyvb-2,,Ayoreo,133_flyvb,cho; iyo,iyo,iː j o ʔ,,benz2020;schmeda1998;briggs2015,,,,,1205,,,[]
Ayoreo-164_dust-1,,Ayoreo,164_dust,ijnõi,ijnõi,i n̥ õ + i,,benz2020;schmeda1998;briggs2015,,,,,1218,,,"['dust', '_:masc']"
Ayoreo-164_dust-2,,Ayoreo,164_dust,uñujna,uñujna,u ɲ u n̥ a,,benz2020;schmeda1998;briggs2015,,,,,1218,,,[]
Ayoreo-164_dust-3,,Ayoreo,164_dust,uñojna; urui,uru+i,u ɹ u + i,,benz2020;schmeda1998;briggs2015,,,,,1219 1220,,,"['dust', '_:masc.sg']"
Ayoreo-168_star-1,,Ayoreo,168_star,guedo,guedo,g eː d o,,benz2020;schmeda1998;briggs2015,,,,,605,,,[]
Ayoreo-145_nearadv-1,,Ayoreo,145_nearadv,idogosi,idogosi,i d o g o s i ʔ,,benz2020;schmeda1998;briggs2015,,,,,1237,,,[]
Ayoreo-43_leaf-1,,Ayoreo,43_leaf,acai; porãakarai,por+ãakarai,p oː ɹ + ãː k a ɹ aː i,,benz2020;schmeda1998;briggs2015,,,,,1249 623,,,"['tree', 'hair']"
Ayoreo-43_leaf-2,,Ayoreo,43_leaf,aoi,ao+i,a oi,,benz2020;schmeda1998;briggs2015,,,,,1250 1248,,,[]
Ayoreo-140_where-1,,Ayoreo,140_where,deique; dehi rike e; tia,deique,d e h i + i k e,,benz2020;schmeda1998;briggs2015,,,,,1274,,,"['there.be', '_:indet']"
Ayoreo-141_how-1,,Ayoreo,141_how,isokarike,isokarike,iː s o k aː ɹ i k e,,benz2020;schmeda1998;briggs2015,,,,,645,,,[]
Ayoreo-153_three-1,,Ayoreo,153_three,gadioque; gadiogue; gadioi,gadioque,g a d i o k,,benz2020;schmeda1998;briggs2015,,,,,1286,,,[]
Ayoreo-146_faradv-1,,Ayoreo,146_faradv,idaja,idaja,i d a h a ʔ,,benz2020;schmeda1998;briggs2015,,,,,1291 1292,,,[]
Ayoreo-162_drink-1,,Ayoreo,162_drink,choji; ohi,ohi,oː h i,,benz2020;schmeda1998;briggs2015,,,,,138,,,[]
Ayoreo-253_flower-1,,Ayoreo,253_flower,pojangue; asigue,pojan+gue,p o h a ŋ e,,benz2020;schmeda1998;briggs2015,,,,,653 1299,,,[]
Ayoreo-253_flower-2,,Ayoreo,253_flower,pojangue; asigue,asigue,a s i g e,,benz2020;schmeda1998;briggs2015,,,,,1300,,,[]
Ayoreo-253_flower-3,,Ayoreo,253_flower,pojna,pojna,p o n̥ a,,benz2020;schmeda1998;briggs2015,,,,,653,,,[]
