ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Borrowings,Patterns,Morpheme_Glosses
Abipon-37_husband-1,,Abipon,37_husband,laoenek,l+aoenek,l + a w e n e k,,najlis1966,,,,,6 26 27,,,"['_:poss', 'spouse']"
Abipon-38_wife-1,,Abipon,38_wife,graoene,graoene,g r a w e n e,,najlis1966,,,,,28 29 30,,,[]
Abipon-138_hear-1,,Abipon,138_hear,oahipat,oahipat,w a h i p a t,,najlis1966,,,,,31 32,,,[]
Abipon-138_hear-2,,Abipon,138_hear,haoaqa,haoaqa,h a w a q a,,najlis1966,,,,,33 34,,,[]
Abipon-130_louse-1,,Abipon,130_louse,noapaRat,n+oapaRat,n + w a p a ʁ a t,,najlis1966,,,,,1 43 9,,,"['_:poss', 'louse']"
Abipon-129_dog-1,,Abipon,129_dog,netegink,netegink,n e t e g i n k,,najlis1966,,,,,1 44 45,,,[]
Abipon-120_leg-1,,Abipon,120_leg,nici,ni+ci,n i + tʃ i,,najlis1966,,,,,55 56,,,"['_:poss', 'leg']"
Abipon-125_sleep-1,,Abipon,125_sleep,roate,roate,r w a t e,,najlis1966,,,,,64,,,[]
Abipon-44_feather-1,,Abipon,44_feather,letegk,l+etegk,l + e t e g k,,najlis1966,,,,,6 75,,,"['_:poss', 'hair']"
Abipon-154_four-1,,Abipon,154_four,naatapici,naatapici,n aː t a p i tʃ i,,najlis1966,,,,,1 83 84,,,[]
Abipon-154_four-2,,Abipon,154_four,keienk ñate,keienk ñate,k e j e n k + ɲ a t e,,najlis1966,,,,,85 83,,,"['ostrich', 'paws']"
Abipon-167_yellow-1,,Abipon,167_yellow,aoig,aoig,a w i g,,najlis1966,,,,,87,,,[]
Abipon-167_yellow-2,,Abipon,167_yellow,ikai,i+kai,i k ai,,najlis1966,,,,,53 88,,,[]
Abipon-167_yellow-3,,Abipon,167_yellow,keiñi,keiñi,k ei ɲ i,,najlis1966,,,,,88,,,[]
Abipon-133_flyvb-1,,Abipon,133_flyvb,natahegem,nata+hegem,n + a t a + h e g e m,,najlis1966,,,,,1 18 89,,,"['move', '_:up']"
Abipon-164_dust-1,,Abipon,164_dust,nagmaiaRa,nagmaiaRa,n a g m a j a ʁ a,,najlis1966,,,,,99 3,,,[]
Abipon-168_star-1,,Abipon,168_star,eergRaik,eergRaik,eː r g ʁ ai k,,najlis1966,,,,,102 103,,,[]
Abipon-43_leaf-1,,Abipon,43_leaf,letegk,l+etegk,l + e t e g k,,najlis1966,,,,,6 75,,,"['_:poss', 'hair']"
Abipon-153_three-1,,Abipon,153_three,iñoaka iekaiñi,iñoaka iekaiñi,i ɲ w a k a + j e k a i ɲ i,,najlis1966,,,,,125 126 127,,,"['two', '?']"
Abipon-153_three-2,,Abipon,153_three,keienk ñate,keienk ñate,k e j e n k + ɲ a t e,,najlis1966,,,,,85 125,,,"['ostrich', 'paws']"
Abipon-162_drink-1,,Abipon,162_drink,ñañam,ñañam,ɲ a ɲ a m,,najlis1966,,,,,107 137,,,[]
Abipon-162_drink-2,,Abipon,162_drink,neet,n+eet,n eː t,,najlis1966,,,,,1 138,,,[]
Abipon-162_drink-3,,Abipon,162_drink,oik,oik,w i k,,najlis1966,,,,,139,,,[]
Abipon-253_flower-1,,Abipon,253_flower,lenoigRaik,l+enoig+Raik,l + e n w i + g ʁ ai + k,,najlis1966,,,,,6 140 141,,,"['_:poss', 'blossom', '_:adj', '_:masc']"
Abipon-148_short-1,,Abipon,148_short,larici,larici,l a r i tʃ i,,najlis1966,,,,,156,,,[]
Abipon-149_five-1,,Abipon,149_five,hanamhegem,h+anam+hegem,h + a n a m + h e g e m,,najlis1966,,,,,163 164 89,,,"['_:1sg', 'finish', '_:dir']"
Abipon-149_five-2,,Abipon,149_five,neen halak,n+een h+alak,n + eː n + h a l + a k,,najlis1966,,,,,1 165 163 166,,,"['_:3sg', 'good', '_:poss', 'skin']"
Abipon-15_long-1,,Abipon,15_long,larek,larek,l a r e k,,najlis1966,,,,,187,,,[]
Abipon-136_littlequantityfew-1,,Abipon,136_littlequantityfew,aolka,aolka,a o l k a,,najlis1966,,,,,214,,,[]
Abipon-136_littlequantityfew-2,,Abipon,136_littlequantityfew,leneci,leneci,l e n e tʃ i,,najlis1966,,,,,6 76,,,[]
Abipon-147_muchmany-1,,Abipon,147_muchmany,aierete,aierete,a j e r e t e,,najlis1966,,,,,217,,,[]
Abipon-147_muchmany-2,,Abipon,147_muchmany,eneoge,eneoge,e n e o g e,,najlis1966,,,,,218,,,[]
Abipon-147_muchmany-3,,Abipon,147_muchmany,lam,lam,l a m,,najlis1966,,,,,219,,,[]
Abipon-147_muchmany-4,,Abipon,147_muchmany,latenk,latenk,l a t e n k,,najlis1966,,,,,217,,,[]
Abipon-39_sit-1,,Abipon,39_sit,aña,aña,a ɲ a,,najlis1966,,,,,221,,,[]
Abipon-39_sit-2,,Abipon,39_sit,aiañiiñi,aiañiiñi,a j a ɲ i ɲ i,,najlis1966,,,,,222 221 223,,,[]
Abipon-35_spider-1,,Abipon,35_spider,aoalin,aoalin,a w a l i n,,najlis1966,,,,,234,,,[]
Abipon-126_liedown-1,,Abipon,126_liedown,ahaoaRañi,ahaoaRañi,a h a w a ʁ a ɲ i,,najlis1966,,,,,256 257 258 259,,,[]
Abipon-126_liedown-2,,Abipon,126_liedown,ahaoi,ahaoi,a h a w i,,najlis1966,,,,,256 260 53,,,[]
Abipon-150_ten-1,,Abipon,150_ten,lanamerihegem,l+anam+eri+hegem,l + a n a m + e r i + h e g e m,,najlis1966,,,,,6 164 271 89,,,"['_:poss', 'finish', '_:pl', '_:dir']"
Abipon-128_flea-1,,Abipon,128_flea,netegink loapaRat,netegink l+oapaRat,n e t e g i n k + l + w a p a ʁ a t,,najlis1966,,,,,1 287 288 289 290,,,"['dog', '_:poss', 'insect']"
Abipon-166_deer-1,,Abipon,166_deer,hëëgehaq,hëëgehaq,h eː g e h a q,,najlis1966,,,,,293 294,,,[]
Abipon-166_deer-2,,Abipon,166_deer,oacigranigal,oacigranigal,w a tʃ i g r a n i g a l,,najlis1966,,,,,295,,,[]
Abipon-42_hairhead-1,,Abipon,42_hairhead,eoe,eoe,e w e,,najlis1966,,,,,239,,,['hair']
Abipon-42_hairhead-2,,Abipon,42_hairhead,letegk,l+etegk,l + e t e g k,,najlis1966,,,,,6 75,,,"['_:poss', 'hair']"
Abipon-254_penis-1,,Abipon,254_penis,ligRat,ligRat,l i g ʁ a t,,najlis1966,,,,,6 305 9,,,[]
Abipon-124_bed-1,,Abipon,124_bed,naoalna,naoalna,n a w a l n a,,najlis1966,,,,,1 316 317,,,[]
Abipon-123_burnvbintrans-1,,Abipon,123_burnvbintrans,ahimag,ahimag,a h i m a g,,najlis1966,,,,,325,,,[]
Abipon-123_burnvbintrans-2,,Abipon,123_burnvbintrans,malahiñi,malahiñi,m a l a h i ɲ i,,najlis1966,,,,,326 327 328,,,[]
Abipon-123_burnvbintrans-3,,Abipon,123_burnvbintrans,nkaate,nkaate,n k aː t e,,najlis1966,,,,,1 329 330,,,[]
Abipon-156_seven-1,,Abipon,156_seven,iñoaka loahatahete,iñoaka loahatahete,i ɲ w a k a + l w a h a t a h e t e,,najlis1966,,,,,125 341,,,"['two', '?']"
Abipon-169_knife-1,,Abipon,169_knife,napiaRanRat,napiaRanRat,n a p j a ʁ a n ʁ a t,,najlis1966,,,,,1 342 15 9,,,[]
