NUMBER	ENGLISH
1	honey
2	beehive
3	hit
4	brother 
5	sister
6	older brother
7	younger brother
8	older sister
9	younger sister
10	son
11	daughter
12	shirt
13	cup (drinking vessel)
14	trousers 
15	long
16	easy
17	difficult
18	word
19	language
20	understand
21	find
22	city
23	stone
24	mountain
25	sour
26	Geranospiza caerulescens
27	Britoa sellowiana
28	Tillandsia meridionalis
29	Cucurbitella duriaei
30	Echinodorus longipetalus
31	Polygonum punctatum
32	Polygonum hispidum
33	Pithecoctenium cynanchoides
34	Micrurus corallinus
35	spider
36	spider web
37	husband
38	wife
39	sit
40	born (to be)
41	fall
42	hair (head)
43	leaf
44	feather
45	Pyrocephalus rubinus
46	animal
47	sun
48	Schinopsis balansae
49	Schinopsis lorentzii
50	red
51	Pycnoporus sanguineus
52	tree (cf 08.600)
53	ear
54	Pectis odorata
55	bee
56	hand
57	arm
58	beard
59	mouth
60	door, gate
61	chin
62	lip
63	thumb
64	finger
65	large, big
66	mother
67	lake
68	womb
69	parents
70	eyelid
71	window
72	house
73	village
74	seed
75	skin, hide
76	cover
77	nipple, teat
78	breast (of woman)
79	head
80	beak
81	spine
82	back
83	bone
84	vein, artery
85	blood
86	path
87	place
88	skull
89	fur
90	bark
91	fishscale
92	cloud
93	sky
94	fingernail
95	claw
96	fin (dorsal)
97	fish
98	wing
99	palm of hand
100	small, little
101	child
102	horn
103	club
104	soul, spirit
105	shade, shadow
106	year
107	summer
108	Prosopis alba
109	lightning
110	fight (vb)
111	kill
112	guitara
113	horse (equine)
114	tail
115	sheep
116	goat
117	he-goat
118	ant
119	Rhea americana
120	leg
121	footprint
122	altar
123	burn (vb intrans)
124	bed
125	sleep
126	lie down
127	cousin
128	flea
129	dog
130	louse
131	insect
132	float
133	fly (vb)
134	itch
135	two
136	little (quantity), few
137	potter
138	hear
139	earth (ground, soil)
140	where
141	how
142	sap
143	plant (vb)
144	mute
145	near (adv)
146	far (adv)
147	much, many
148	short
149	five
150	ten
151	twenty
152	one
153	three
154	four
155	six
156	seven
157	eight
158	nine
159	cook
160	fox
161	wolf
162	drink
163	see
164	dust
165	write
166	deer
167	yellow
168	star
169	knife
170	needle
171	Prochilodus lineatus
172	Castela coccinea
173	lizard
174	dove
175	Croton bonplandianus
176	Solanum aridum
177	Solanum eleagnifolium
178	Solanum palinacanthum
179	Solanum amygdalifolium
180	Solanum argentinum
181	Solanum glaucophyllum
182	Solanum hieronymi
183	Solanum palinacanthum Dunal
184	Solanum sisymbriifolium
185	Cucumis melo
186	Procyon cancrivorus
187	shell
188	bird
189	smell (vb trans)
190	Chenopodium ambrosioides
191	Machetornis rixosa
192	grass
193	Serrasalmus spilopleura
194	Serrasalmus marginatus
195	Mylossoma duriventre
196	Piaractus mesopotamicus
197	Pseudoplatystoma
198	Pseudoplatystoma corruscans
199	Pseudoplatystoma fasciatum
200	Salminus brasiliensis
201	testicle
202	Passiflora capsularis
203	Passiflora cincinnata
204	Passiflora edulis
205	Passiflora misera
206	Passiflora mooreana
207	Passiflora morifolia
208	Commelina erecta
209	old man
210	old woman
211	mule
212	Heteranthera peduncularis
213	Sicalis flaveola
214	Himantopus melanurus
215	Peltophorum dubium
216	Hyptis lappacea
217	Aloysia polystachya
218	Atelocynus microtis
219	Bidens pilosa
220	Bidens subalternans
221	Boerhavia diffusa
222	Boerhavia coccinea
223	Busarellus nigricollis
224	Busarellus nigricollis leucocephalus
225	Clematis montevidensis
226	Crotalaria incana
227	Molothrus bonariensis
228	Ricinus communis
229	Phoradendron liga
230	Rostrhamus sociabilis
231	Vallesia glabra
232	Thalia geniculata
233	Phyllostylon rhamnoides
234	Battarrea stevenii
235	Calycophyllum multiflorum
236	Heimia salicifolia
237	Senna chloroclada
238	Senna morongii
239	Senna obtusifolia
240	Senna occidentalis
241	Senna pendula
242	Senna pendula var. eriocarpa
243	Senna sp.
244	Bahuinia argentinensis
245	Bauhinia argentinensis
246	Bahuinia sp.
247	ass, donkey
248	black
249	white
250	snail
251	foot
252	Tapirus terrestris
253	flower
254	penis
255	Chauna torquata
256	tongue
257	cow
258	bear
259	chest
260	ox
261	bull
262	wasp
263	poison
264	eyelash
265	crocodile, alligator
266	heart
267	under
268	every, all
269	know
270	goose
271	cold
272	nest
273	up, above
274	wake up
275	tapioca, manioc, cassava
276	sweet potato
277	stand
278	cat
279	ashes
280	intestines, guts
281	eat
282	cry, weep
283	buy
284	come
285	person, human being
286	elbow
287	father
288	give
289	hawk
290	fruit
291	grasshopper
292	maize, corn
293	lung
294	parrot
295	mosquito
296	name
297	old
298	owl
299	pus
300	ripe
301	road
302	root
303	rope, cord
304	thunder
305	tobacco
306	urinate
307	pig
308	Pistia stratiotes
309	Cynodon dactylon
310	Paspalum plicatulum
311	Paspalum repens
312	Paspalum unispicatum
313	Dendrocygna bicolor
314	Eichhornia azurea
315	Hymenachne amplexicaulis
316	Aramides ypecaha
317	Turdus amaurochalinus
318	Zea mays
319	Aramus guarauna
320	Aramus guarauna guarauna
321	Echinopsis rhodotricha
322	Citrullus lanatus
323	Tayassu pecari
324	Gossypium hirsutum
325	Ipomoea carnea
326	Tamandua tetradactyla
327	Crotophaga ani
328	Crotophaga major
329	hold
330	Ortalis canicollis
